mode,payload_type,dim_used,n,e2e_mean,bw_mean_kb,relerr_mean,keys_mean_mb
FULL_FHE_RAW,demo+raw,132,20,20.102,647.11875,2.0712092559847408e-09,33.65648365020752
FULL_FHE_RAW,demo+raw,260,20,21.774465,647.327685546875,1.5563326230663867e-09,33.65648365020752
FULL_FHE_RAW,demo+raw,516,20,23.870065,647.2490234375,1.5827313199070742e-09,33.65648365020752
FULL_FHE_RAW,demo+raw,1028,20,25.463305,647.108642578125,2.62154616465116e-09,33.65648365020752
HYBRID_FEATURES,demo+feat,9,20,12.580865,647.078466796875,6.880627189208539e-09,33.65648365020752
HYBRID_FEATURES,demo+feat,12,20,12.727515,647.09521484375,1.9098351326998597e-09,33.65648365020752
HYBRID_FEATURES,demo+feat,20,20,14.629724999999999,647.18037109375,2.949544307257212e-09,33.65648365020752
HYBRID_FEATURES,demo+feat,36,20,16.384965,647.17255859375,4.893631743232542e-08,33.65648365020752
